2026-06-10 16:28:57 | pid=8103 alive=True | epoch=26 progress=93% loss=4.6300 | latest_ckpt_epoch=25 | gpu=84% mem=8294/12227MB power=104.45W temp=59C
2026-06-10 16:29:12 | pid=8103 alive=True | epoch=27 progress=37% loss=4.6300 | latest_ckpt_epoch=26 | gpu=5% mem=8291/12227MB power=68.90W temp=52C
2026-06-10 16:29:27 | pid=8103 alive=True | epoch=27 progress=81% loss=4.6400 | latest_ckpt_epoch=26 | gpu=37% mem=8290/12227MB power=82.00W temp=52C
2026-06-10 16:29:42 | pid=8103 alive=True | epoch=28 progress=26% loss=4.6300 | latest_ckpt_epoch=27 | gpu=74% mem=8299/12227MB power=89.80W temp=59C
2026-06-10 16:29:57 | pid=8103 alive=True | epoch=28 progress=70% loss=4.6500 | latest_ckpt_epoch=27 | gpu=70% mem=8299/12227MB power=82.47W temp=51C
2026-06-10 16:30:12 | pid=8103 alive=True | epoch=29 progress=16% loss=4.6300 | latest_ckpt_epoch=28 | gpu=5% mem=8310/12227MB power=76.91W temp=52C
2026-06-10 16:30:27 | pid=8103 alive=True | epoch=29 progress=65% loss=4.6300 | latest_ckpt_epoch=28 | gpu=65% mem=8310/12227MB power=96.86W temp=55C
2026-06-10 16:30:42 | pid=8103 alive=True | epoch=29 progress=100% loss=4.6400 | latest_ckpt_epoch=29 | gpu=3% mem=8307/12227MB power=17.45W temp=47C
2026-06-10 16:30:58 | pid=8103 alive=True | epoch=29 progress=100% loss=4.6400 | latest_ckpt_epoch=29 | gpu=3% mem=8307/12227MB power=16.64W temp=45C
2026-06-10 16:31:13 | pid=8103 alive=True | epoch=29 progress=100% loss=4.6400 | latest_ckpt_epoch=29 | gpu=3% mem=8307/12227MB power=16.68W temp=44C
2026-06-10 16:31:28 | pid=8103 alive=True | epoch=29 progress=100% loss=4.6400 | latest_ckpt_epoch=29 | gpu=3% mem=8307/12227MB power=17.52W temp=43C
2026-06-10 16:31:43 | pid=8103 alive=True | epoch=29 progress=100% loss=4.6400 | latest_ckpt_epoch=29 | gpu=3% mem=8307/12227MB power=16.04W temp=42C
2026-06-10 16:31:58 | pid=8103 alive=False | epoch=29 progress=100% loss=4.6400 | latest_ckpt_epoch=29 | gpu=3% mem=1871/12227MB power=22.58W temp=42C
