2026-05-30 23:05:49 | pid=110162 alive=True | epoch=7 progress=37% loss=4.6600 | latest_ckpt_epoch=6 | gpu=39% mem=7781/12227MB power=43.54W temp=41C
2026-05-30 23:05:54 | pid=110162 alive=True | epoch=7 progress=47% loss=4.6500 | latest_ckpt_epoch=6 | gpu=1% mem=7781/12227MB power=63.16W temp=42C
2026-05-30 23:05:59 | pid=110162 alive=True | epoch=7 progress=58% loss=4.6500 | latest_ckpt_epoch=6 | gpu=1% mem=7781/12227MB power=57.41W temp=41C
2026-05-30 23:06:04 | pid=110162 alive=True | epoch=7 progress=65% loss=4.7000 | latest_ckpt_epoch=6 | gpu=1% mem=7782/12227MB power=63.38W temp=52C
2026-05-30 23:06:09 | pid=110162 alive=True | epoch=7 progress=72% loss=4.6600 | latest_ckpt_epoch=6 | gpu=1% mem=7782/12227MB power=63.05W temp=42C
2026-05-30 23:06:14 | pid=110162 alive=True | epoch=7 progress=81% loss=4.7200 | latest_ckpt_epoch=6 | gpu=69% mem=7786/12227MB power=66.28W temp=51C
2026-05-30 23:06:20 | pid=110162 alive=True | epoch=7 progress=93% loss=4.6600 | latest_ckpt_epoch=6 | gpu=41% mem=7792/12227MB power=63.64W temp=42C
2026-05-30 23:06:25 | pid=110162 alive=True | epoch=7 progress=100% loss=4.6900 | latest_ckpt_epoch=7 | gpu=1% mem=7791/12227MB power=27.40W temp=40C
2026-05-30 23:06:30 | pid=110162 alive=True | epoch=8 progress=9% loss=4.6500 | latest_ckpt_epoch=7 | gpu=42% mem=7788/12227MB power=65.85W temp=48C
2026-05-30 23:06:36 | pid=110162 alive=True | epoch=8 progress=19% loss=4.6400 | latest_ckpt_epoch=7 | gpu=41% mem=7786/12227MB power=63.16W temp=44C
2026-05-30 23:06:41 | pid=110162 alive=True | epoch=8 progress=28% loss=4.6700 | latest_ckpt_epoch=7 | gpu=80% mem=7781/12227MB power=66.13W temp=49C
2026-05-30 23:06:46 | pid=110162 alive=True | epoch=8 progress=35% loss=4.6800 | latest_ckpt_epoch=7 | gpu=1% mem=7781/12227MB power=62.93W temp=43C
2026-05-30 23:06:51 | pid=110162 alive=True | epoch=8 progress=42% loss=4.6700 | latest_ckpt_epoch=7 | gpu=1% mem=7780/12227MB power=34.61W temp=41C
2026-05-30 23:06:56 | pid=110162 alive=True | epoch=8 progress=51% loss=4.6700 | latest_ckpt_epoch=7 | gpu=1% mem=7780/12227MB power=50.03W temp=41C
2026-05-30 23:07:01 | pid=110162 alive=True | epoch=8 progress=60% loss=4.6600 | latest_ckpt_epoch=7 | gpu=1% mem=7780/12227MB power=66.11W temp=43C
2026-05-30 23:07:06 | pid=110162 alive=True | epoch=8 progress=70% loss=4.7300 | latest_ckpt_epoch=7 | gpu=1% mem=7780/12227MB power=66.05W temp=49C
2026-05-30 23:07:11 | pid=110162 alive=True | epoch=8 progress=77% loss=4.6700 | latest_ckpt_epoch=7 | gpu=1% mem=7780/12227MB power=62.61W temp=42C
2026-05-30 23:07:16 | pid=110162 alive=True | epoch=8 progress=86% loss=4.6600 | latest_ckpt_epoch=7 | gpu=1% mem=7781/12227MB power=66.05W temp=43C
2026-05-30 23:07:21 | pid=110162 alive=True | epoch=8 progress=95% loss=4.6800 | latest_ckpt_epoch=7 | gpu=27% mem=7781/12227MB power=75.18W temp=44C
2026-05-30 23:07:27 | pid=110162 alive=True | epoch=9 progress=2% loss=4.6700 | latest_ckpt_epoch=8 | gpu=36% mem=7781/12227MB power=65.94W temp=43C
2026-05-30 23:07:32 | pid=110162 alive=True | epoch=9 progress=12% loss=4.6600 | latest_ckpt_epoch=8 | gpu=1% mem=7780/12227MB power=63.14W temp=52C
